mass,r_br_yy_bb,exp_limit,obs_limit
350,0.0049,0.168197,0.137383
350,0.0050,0.166048,0.136329
350,0.0051,0.163943,0.135279
350,0.0052,0.161881,0.134229
350,0.0053,0.159861,0.133193
350,0.0054,0.157882,0.132167
350,0.0055,0.155943,0.131245
350,0.0056,0.154048,0.130233
350,0.0057,0.152187,0.129233
350,0.0058,0.150363,0.128243
350,0.0059,0.148576,0.127262
350,0.0060,0.146825,0.126294
350,0.0070,0.131099,0.117148
350,0.0080,0.117992,0.108983
350,0.0090,0.107156,0.101663
350,0.0100,0.098007,0.095350
350,0.0200,0.051931,0.056928
350,0.0300,0.035002,0.040200
350,0.0400,0.026368,0.031087
350,0.0500,0.021139,0.025315
400,0.0000,0.124194,0.060827
400,0.0001,0.124165,0.060978
400,0.0002,0.124059,0.061139
400,0.0003,0.123881,0.061272
400,0.0004,0.123636,0.061549
400,0.0005,0.123370,0.061487
400,0.0006,0.123004,0.061643
400,0.0007,0.122584,0.061678
400,0.0008,0.122115,0.061862
400,0.0009,0.121601,0.061723
400,0.0010,0.121047,0.061728
400,0.0011,0.120455,0.061764
400,0.0012,0.119830,0.061755
400,0.0013,0.119175,0.061733
400,0.0014,0.118492,0.061835
400,0.0015,0.117785,0.061611
400,0.0016,0.117056,0.061588
400,0.0017,0.116308,0.061484
400,0.0018,0.115543,0.061566
400,0.0019,0.114710,0.061299
400,0.0020,0.113917,0.061185
400,0.0021,0.113113,0.061051
400,0.0022,0.112299,0.060921
400,0.0023,0.111477,0.060783
400,0.0024,0.110672,0.060637
400,0.0025,0.109815,0.060498
400,0.0026,0.109005,0.060340
400,0.0027,0.108167,0.060167
400,0.0028,0.107327,0.059993
400,0.0029,0.106487,0.059811
400,0.0030,0.105646,0.059624
400,0.0031,0.104807,0.059432
400,0.0032,0.103969,0.059233
400,0.0033,0.103133,0.059031
400,0.0034,0.102300,0.058825
400,0.0035,0.101471,0.058621
400,0.0036,0.100646,0.058474
400,0.0037,0.099771,0.058261
400,0.0038,0.098951,0.058043
400,0.0039,0.098136,0.057817
400,0.0040,0.097327,0.057594
400,0.0041,0.096523,0.057368
400,0.0042,0.095725,0.057141
400,0.0043,0.094933,0.056912
400,0.0044,0.094147,0.056680
400,0.0045,0.093368,0.056445
400,0.0046,0.092596,0.056214
400,0.0047,0.091830,0.055978
400,0.0048,0.091071,0.055741
400,0.0049,0.090320,0.055504
400,0.0050,0.089575,0.055270
400,0.0051,0.088838,0.055030
400,0.0052,0.088108,0.054829
400,0.0053,0.087385,0.054587
400,0.0054,0.086670,0.054271
400,0.0055,0.085962,0.054029
400,0.0056,0.085261,0.053787
400,0.0057,0.084568,0.053544
400,0.0058,0.083883,0.053301
400,0.0059,0.083204,0.053059
400,0.0060,0.082534,0.052818
400,0.0070,0.076226,0.050432
400,0.0080,0.070612,0.048143
400,0.0090,0.065555,0.045959
400,0.0100,0.061107,0.043914
400,0.0200,0.035215,0.029538
400,0.0300,0.024301,0.021940
400,0.0400,0.018468,0.017380
400,0.0500,0.014869,0.014352
450,0.0000,0.06763,0.04749
450,0.0001,0.06763,0.04749
450,0.0002,0.06763,0.04749
450,0.0003,0.06763,0.04749
450,0.0004,0.06763,0.04749
450,0.0005,0.06763,0.04749
450,0.0006,0.06763,0.04749
450,0.0007,0.06763,0.04749
450,0.0008,0.06763,0.04749
450,0.0009,0.06763,0.04749
450,0.0010,0.06763,0.04749
450,0.0011,0.06763,0.04749
450,0.0012,0.06763,0.04749
450,0.0013,0.06763,0.04749
450,0.0014,0.06763,0.04749
450,0.0015,0.06763,0.04749
450,0.0016,0.06763,0.04749
450,0.0017,0.06763,0.04749
450,0.0018,0.06763,0.04749
450,0.0019,0.06763,0.04749
450,0.0020,0.06763,0.04749
450,0.0021,0.06763,0.04749
450,0.0022,0.06763,0.04749
450,0.0023,0.06763,0.04749
450,0.0024,0.06763,0.04749
450,0.0025,0.06763,0.04749
450,0.0026,0.06763,0.04749
450,0.0027,0.06763,0.04749
450,0.0028,0.06763,0.04749
450,0.0029,0.06763,0.04749
450,0.0030,0.06763,0.04749
450,0.0031,0.06763,0.04749
450,0.0032,0.06763,0.04749
450,0.0033,0.06763,0.04749
450,0.0034,0.06763,0.04749
450,0.0035,0.06763,0.04749
450,0.0036,0.06763,0.04749
450,0.0037,0.06763,0.04749
450,0.0038,0.06763,0.04749
450,0.0039,0.06763,0.04749
450,0.0040,0.06763,0.04749
450,0.0041,0.06763,0.04749
450,0.0042,0.06763,0.04749
450,0.0043,0.06763,0.04749
450,0.0044,0.06763,0.04749
450,0.0045,0.06763,0.04749
450,0.0046,0.06763,0.04749
450,0.0047,0.06763,0.04749
450,0.0048,0.06763,0.04749
450,0.0049,0.06763,0.04749
450,0.0050,0.06763,0.04749
450,0.0051,0.06763,0.04749
450,0.0052,0.06763,0.04749
450,0.0053,0.06763,0.04749
450,0.0054,0.06763,0.04749
450,0.0055,0.06763,0.04749
450,0.0056,0.06763,0.04749
450,0.0057,0.06763,0.04749
450,0.0058,0.06763,0.04749
450,0.0059,0.06763,0.04749
450,0.0060,0.06763,0.04749
450,0.0070,0.06763,0.04749
450,0.0080,0.06763,0.04749
450,0.0090,0.06763,0.04749
450,0.0100,0.06763,0.04749
450,0.0200,0.06763,0.04749
450,0.0300,0.06763,0.04749
450,0.0400,0.06763,0.04749
450,0.0500,0.06763,0.04749
500,0.0000,0.038360,0.039736
500,0.0001,0.038359,0.039824
500,0.0002,0.038352,0.039951
500,0.0003,0.038339,0.040070
500,0.0004,0.038322,0.040183
500,0.0005,0.038299,0.040289
500,0.0006,0.038271,0.040389
500,0.0007,0.038238,0.040481
500,0.0008,0.038200,0.040568
500,0.0009,0.038158,0.040648
500,0.0010,0.038112,0.040722
500,0.0011,0.038062,0.040790
500,0.0012,0.038008,0.040896
